,Unnamed: 0,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
43238,43238,OC12CC3OC(C13)C2=O,-0.9125,46.53,126.031694052,1,3,"(48,)",0.1935680350663004,-0.3813407185189846,0,3,4,2.2607,-457.711428,-457.712372,-457.719275,-457.750423,-0.2414,-0.0349,0.2065,0.112549
48170,48170,O=CC1C(=O)C=CC1=O,-0.4905000000000001,51.21,124.016043988,0,3,"(46,)",0.1732906049017556,-0.3020623002689923,1,1,0,4.276,-456.603734,-456.604678,-456.612545,-456.646395,-0.2678,-0.1126,0.1552,0.087729
25451,25451,CC1OC1C(=O)CC=O,-0.0682,46.67,128.047344116,0,3,"(50,)",0.1707852003879883,-0.3615686053329335,3,1,2,1.9263,-458.953718,-458.954662,-458.964225,-459.000496,-0.2545,-0.0495,0.205,0.131939
126759,126759,O=C1NC(CC=C1)C#C,0.0642999999999998,29.1,121.052763844,1,1,"(46,)",0.2441363233596513,-0.3386126846632574,0,1,1,3.9249,-400.748094,-400.749038,-400.757004,-400.789653,-0.245,-0.0375,0.2075,0.125235
62868,62868,OC1C2NC2(C#N)C1=O,-1.83582,83.03,124.027277368,2,4,"(46,)",0.1986780285076334,-0.3834153207688653,0,2,3,4.0537,-452.702627,-452.703571,-452.711328,-452.743906,-0.2591,-0.058,0.2011,0.088787
105354,105354,CC1C2NC2C(O)C1=O,-1.0935,59.24,127.063328528,2,3,"(50,)",0.1668400485912329,-0.3836013054177016,0,2,4,4.3231,-439.076712,-439.077656,-439.086186,-439.119594,-0.2346,-0.0208,0.2139,0.147646
33602,33602,CN=C(CO)NCC#N,-0.87982,68.41,127.074561908,2,3,"(50,)",0.1228042546018142,-0.3884691068798887,2,0,0,3.8667,-435.257023,-435.257967,-435.268452,-435.30573,-0.2349,0.0176,0.2525,0.145976
91562,91562,N#CC12CC1COCC2,0.93658,33.02,123.068413908,0,2,"(48,)",0.0694143473282262,-0.3810443668861617,0,2,2,3.9565,-401.946522,-401.947466,-401.955174,-401.987333,-0.268,0.027,0.295,0.150002
57422,57422,CN=COC1CCC1C,1.4596,21.59,127.099714036,0,2,"(52,)",0.1690498222178981,-0.4800722269469228,2,1,2,2.725,-404.327792,-404.328736,-404.338843,-404.375057,-0.2423,0.0292,0.2715,0.19258
36308,36308,COC12CC3C(CC13)C2,1.4313,9.23,124.088815004,0,1,"(50,)",0.0714810162486286,-0.3779166324896076,1,5,4,1.0315,-387.041488,-387.042432,-387.049987,-387.081903,-0.2381,0.0918,0.3299,0.184417
58130,58130,CC(O)CN=C(N)C#N,-0.7520200000000001,82.4,127.074561908,2,3,"(50,)",0.1983491100134342,-0.3914893096618,2,0,1,5.0008,-435.26909,-435.270034,-435.280234,-435.315976,-0.2574,-0.0486,0.2088,0.145822
84893,84893,COC1CCC2CC2C1,1.8214,9.23,126.104465068,0,1,"(52,)",0.0573795314462482,-0.3814493219450857,1,2,3,1.1498,-388.276196,-388.27714,-388.285956,-388.319504,-0.2421,0.0786,0.3208,0.20772
47342,47342,OC12CC3C1CC1C2N31,-0.4239000000000001,23.24,123.068413908,1,2,"(48,)",0.0875637509002276,-0.3877746238037488,0,5,6,1.9149,-401.912929,-401.913873,-401.920194,-401.950369,-0.2302,0.0638,0.294,0.150794
23265,23265,OC1C2OC2CC1C#N,-0.34182,56.55,125.047678464,1,3,"(48,)",0.1112942968398825,-0.388935927910739,0,2,4,5.874,-437.873089,-437.874034,-437.881929,-437.914475,-0.276,0.0286,0.3046,0.124809
14441,14441,CCN=C1NN=NN1C,-0.9362,58.86,127.085795288,1,4,"(50,)",0.2377536336199082,-0.2503415989581447,1,1,0,1.1242,-431.407391,-431.408336,-431.417973,-431.453753,-0.2075,-0.0125,0.195,0.147178
106964,106964,O=C1CC23CCC2CC13,1.3755,17.07,122.07316494,0,1,"(48,)",0.1366542441011076,-0.2993560933733909,0,3,3,2.952,-385.859275,-385.860219,-385.867712,-385.899764,-0.2368,-0.0201,0.2167,0.159803
81672,81672,OCC1=CNN=C1O,-0.3924000000000002,69.14,114.042927432,3,3,"(44,)",0.2351340456296848,-0.4919666494789666,1,1,0,0.9966,-415.86154,-415.862484,-415.870226,-415.903267,-0.2142,0.0338,0.248,0.108237
42008,42008,C(C1CN1)C1=CON=N1,-0.4160999999999999,60.86,125.058911844,1,4,"(48,)",0.147091341414141,-0.3452774965084295,2,2,1,4.2088,-434.004059,-434.005003,-434.012741,-434.046384,-0.2491,-0.0419,0.2072,0.125053
15468,15468,O=CCCC1OC1C=O,-0.0682,46.67,128.047344116,0,3,"(50,)",0.1509626969625174,-0.3615899477145461,4,1,2,0.9535,-458.942883,-458.943827,-458.953397,-458.990006,-0.2612,-0.0505,0.2107,0.132128
86813,86813,CCCCOCC#C,1.4363,9.23,112.088815004,0,1,"(46,)",0.1069464426844772,-0.3687948209894724,4,0,0,1.2983,-348.95176,-348.952704,-348.962821,-348.998729,-0.2541,0.0349,0.2889,0.173861
75607,75607,CC1NC(=O)C1(N)C#C,-1.1645999999999996,55.120000000000005,124.063662876,2,2,"(48,)",0.2545253747760446,-0.3476874665137178,0,1,2,3.0677,-417.978115,-417.979059,-417.988591,-418.022633,-0.2444,0.0137,0.258,0.134303
40922,40922,C1C2CC3OC4C1N2C34,-0.0174,12.47,123.068413908,0,2,"(48,)",0.0915478831103221,-0.3698178539469829,0,4,5,0.469,-401.89084,-401.891784,-401.897453,-401.927111,-0.2183,0.0601,0.2784,0.151967
22223,22223,O=CC1C(C#N)C2CN12,-0.60852,43.87,122.048012812,0,3,"(46,)",0.1380416194159195,-0.3015724958520533,1,2,4,4.3573,-416.760159,-416.761104,-416.769062,-416.802261,-0.2661,-0.0505,0.2156,0.11202
34358,34358,COC(C)C1(C)NC1C,0.7717,31.17,129.1153641,1,2,"(54,)",0.0736747888788725,-0.3797751097738098,2,1,3,1.3114,-405.508043,-405.508987,-405.520143,-405.55621,-0.2382,0.0751,0.3133,0.214615
74381,74381,O=C1[CH-][NH+]2CCC2=C1,-1.09661,21.51,109.052763844,1,1,"(42,)",0.0787588398453647,-0.3620935883662384,0,2,1,8.1731,-362.588554,-362.589498,-362.595893,-362.62622,-0.1685,-0.0236,0.1449,0.120238
63654,63654,OC1CCCC(O)C1=O,-0.5388000000000002,57.53,130.06299418,2,3,"(52,)",0.1890602721291799,-0.385218839197698,0,1,2,1.9842,-460.191882,-460.192826,-460.201322,-460.234176,-0.2707,-0.0377,0.233,0.159791
6827,6827,CC1C(NC1=O)C1CO1,-0.4803000000000001,41.63,127.063328528,1,2,"(50,)",0.2248380721649476,-0.3708656350779032,1,2,3,4.4693,-439.074648,-439.075592,-439.084435,-439.118645,-0.2464,0.0312,0.2776,0.146833
128267,128267,CC12NC34CCN(C13)C24,-0.4428000000000001,15.27,122.08439832,1,2,"(48,)",0.0549139045516127,-0.2998588446196318,0,7,2,1.195,-381.936699,-381.937643,-381.94463,-381.975483,-0.2127,0.0644,0.2772,0.161109
74905,74905,CC(=O)C1C2CC(O)C12,0.2022,37.3,126.06807956,1,2,"(50,)",0.1330837783118011,-0.3927938752215519,1,2,4,4.2098,-423.010839,-423.011783,-423.020272,-423.05354,-0.2417,-0.0288,0.2129,0.158845
31932,31932,CC12OC1C1CC1C2=O,0.3627,29.6,124.052429496,0,2,"(48,)",0.1700062123251683,-0.3577031345621803,0,3,4,2.9802,-421.814508,-421.815452,-421.823064,-421.854918,-0.2377,-0.0334,0.2043,0.13582
79028,79028,CN1C(=N)C2NC2C1=O,-1.22393,66.1,125.058911844,2,3,"(48,)",0.2464175731051253,-0.3011349638753685,0,2,2,1.1932,-434.079796,-434.08074,-434.088468,-434.120688,-0.2525,-0.0226,0.2299,0.126292
15856,15856,O=C1OC2CC3OC2C13,-0.3009000000000001,35.53,126.031694052,0,3,"(48,)",0.3142753419210348,-0.4591056245845522,0,4,4,2.8155,-457.768438,-457.769383,-457.775183,-457.805322,-0.257,-0.0053,0.2517,0.11572
52084,52084,NC1(C#N)C2C3OC3C12,-0.7655200000000002,62.34,122.048012812,1,3,"(46,)",0.1155856204139633,-0.3687239002633942,0,3,4,4.3818,-416.708466,-416.70941,-416.716849,-416.748438,-0.2403,0.0072,0.2475,0.112407
121654,121654,C1CC(O1)C1=NON=C1,0.531,48.150000000000006,126.042927432,0,4,"(48,)",0.133493293024648,-0.3715125699660165,1,2,1,3.9507,-453.87119,-453.872134,-453.879444,-453.912747,-0.2712,-0.0479,0.2233,0.113518
43757,43757,CCNC(C=O)C#CC,0.1867000000000001,29.1,125.084063972,1,2,"(50,)",0.1486985014957116,-0.3005096050874423,3,0,1,1.8787,-403.109976,-403.11092,-403.122207,-403.161109,-0.2222,-0.0276,0.1947,0.167333
54520,54520,CN1CC(C)(C)CC1=O,0.8747,20.31,127.099714036,0,1,"(52,)",0.2224324633831705,-0.3451941074103666,0,1,0,3.6568,-404.401054,-404.401998,-404.411724,-404.445854,-0.2332,0.0378,0.2709,0.193841
41109,41109,COCCN1CC(=O)C1,-0.4824999999999999,29.54,129.078978592,0,3,"(52,)",0.1602836236092755,-0.3833598413118707,3,1,0,3.5558,-440.247604,-440.248548,-440.25822,-440.293782,-0.2274,-0.0181,0.2092,0.168532
78125,78125,CCOCC12CC(C1)C2,1.823,9.23,126.104465068,0,1,"(52,)",0.0522079127524906,-0.3811614641356239,3,3,0,0.9247,-388.227217,-388.228161,-388.237468,-388.272595,-0.2501,0.0899,0.34,0.205658
116507,116507,OC(C=O)C1(CO1)C#C,-1.0516,49.83,126.031694052,1,3,"(48,)",0.1835739555365368,-0.381397962185134,2,1,2,1.2747,-457.692096,-457.69304,-457.702094,-457.736333,-0.2687,-0.0467,0.222,0.108441
24087,24087,C1C2C1C1C3C=CC1C23,1.6843,0.0,118.07825032,0,0,"(46,)",-0.0159720179897258,-0.0845015479862736,0,6,2,0.3363,-348.697507,-348.698451,-348.704437,-348.734226,-0.2171,0.0119,0.229,0.163035
29369,29369,OC12C3CC1NC23C#C,-0.9052000000000002,32.26,121.052763844,2,2,"(46,)",0.1168540523597449,-0.3848488819725458,0,3,4,0.6891,-400.630247,-400.631192,-400.638861,-400.670681,-0.2182,0.0272,0.2454,0.123836
68441,68441,CC1=C(F)N=CC(=O)O1,0.4823199999999998,43.1,129.022606588,0,3,"(48,)",0.3542312611752199,-0.4222193025630212,0,1,0,2.4312,-497.88809,-497.889034,-497.896612,-497.929034,-0.2449,-0.0916,0.1534,0.087628
99018,99018,CCC(O)C#CCO,-0.247,40.46,114.06807956,2,2,"(46,)",0.1140988655642922,-0.383653961715863,1,0,1,1.5135,-384.892015,-384.892959,-384.903096,-384.939485,-0.2597,0.0272,0.2869,0.151063
31767,31767,O=CC1COC2CCC12,0.6103000000000001,26.3,126.06807956,0,2,"(50,)",0.1252514674593536,-0.377158146913245,1,2,3,2.3355,-423.017515,-423.018459,-423.026502,-423.060114,-0.25,-0.0284,0.2215,0.160167
99683,99683,O=CCC12CC1CCO2,0.7544,26.3,126.06807956,0,2,"(50,)",0.1223783530470976,-0.374234978155775,2,2,2,3.5982,-423.016234,-423.017178,-423.025667,-423.059721,-0.2328,-0.0173,0.2155,0.158765
91939,91939,OCC1=CCC(=O)C1,0.268,37.3,112.052429496,1,2,"(44,)",0.1402662996909215,-0.3920098095883232,1,1,0,3.3824,-383.758476,-383.75942,-383.767375,-383.80027,-0.2392,-0.0142,0.225,0.129428
93150,93150,OCC1(O)C2NC1C2O,-2.575299999999999,72.72,131.058243148,4,4,"(52,)",0.123206662852516,-0.3932501084644066,1,3,2,1.9359,-476.129214,-476.130158,-476.13817,-476.17043,-0.2434,0.0502,0.2937,0.148229
5189,5189,FC1=NNC(=N)N=C1,-0.5767300000000002,65.42,114.034174316,2,3,"(42,)",0.2487890389414238,-0.2659535645617742,0,1,0,1.4828,-434.855256,-434.8562,-434.862316,-434.892999,-0.2303,-0.091,0.1393,0.073552
2130,2130,CC1C2OC11CC=CC21,1.3498,9.23,122.07316494,0,1,"(48,)",0.0858010879245461,-0.3692252190539186,0,4,4,1.9766,-385.791713,-385.792657,-385.799936,-385.831116,-0.2319,0.0046,0.2365,0.159644
66662,66662,O=C1OC2CNC2C1=O,-1.5473000000000003,55.4,127.02694302,1,4,"(48,)",0.3763606112425404,-0.4530609444345583,0,2,2,6.0968,-473.827278,-473.828223,-473.835246,-473.867074,-0.2427,-0.0822,0.1605,0.102122
121703,121703,CC1C2CC3C4C3C2C14,1.7642,0.0,120.093900384,0,0,"(48,)",-0.0314835667856141,-0.0619473879911515,0,4,7,0.1434,-349.915619,-349.916564,-349.923375,-349.954123,-0.2355,0.0879,0.3234,0.185859
98160,98160,CC1=CC(=O)C=CN=C1,0.7502199999999999,29.96,121.052763844,0,2,"(46,)",0.1799887326605776,-0.2898925361049779,0,1,0,3.1604,-400.777784,-400.778728,-400.786721,-400.820105,-0.2457,-0.0919,0.1538,0.125231
39289,39289,CC1C2C3C2C2C3C12,1.3741,0.0,106.07825032,0,0,"(42,)",-0.0312080166868038,-0.0619369371396995,0,5,0,0.0377,-310.620497,-310.621442,-310.627515,-310.657237,-0.2163,0.0909,0.3072,0.156021
62022,62022,CC(=O)NCC#CC=O,-0.6752,46.17,125.047678464,1,2,"(48,)",0.2171235005679502,-0.3454071271370195,1,0,0,4.4574,-437.882552,-437.883496,-437.893935,-437.9325,-0.2606,-0.0667,0.1939,0.121089
10423,10423,CNC(=O)C1(CO)CC1,-0.4951000000000005,49.33,129.078978592,2,2,"(52,)",0.227784916650394,-0.3952575949933066,2,1,0,4.6342,-440.29245,-440.293394,-440.303371,-440.339033,-0.2482,0.0196,0.2678,0.170294
7345,7345,CCNC1=CNN=C1N,0.4236999999999999,66.73,126.09054632,3,3,"(50,)",0.1681559889971561,-0.3810573804883551,2,1,0,1.7833,-415.389185,-415.390129,-415.399594,-415.434218,-0.1777,0.0435,0.2212,0.161137
123145,123145,CC(=O)N1C=CN=C1,0.5431999999999999,34.89,110.048012812,0,3,"(42,)",0.2282026912931448,-0.2765898619838824,0,1,0,1.9881,-378.778524,-378.779468,-378.786426,-378.817872,-0.2439,-0.0463,0.1976,0.108485
55849,55849,CN(CCO)C1COC1,-0.6907000000000003,32.7,131.094628656,1,3,"(54,)",0.0644557282532366,-0.3950445517967573,3,1,0,1.5724,-441.421474,-441.422418,-441.432333,-441.468509,-0.2268,0.0654,0.2922,0.193844
132337,132337,CCC1OC(C=O)C1O,-0.2763999999999999,46.53,130.06299418,1,3,"(52,)",0.1510605039982762,-0.3872177712608523,2,1,3,1.4652,-460.141619,-460.142563,-460.152118,-460.187446,-0.2538,-0.0454,0.2084,0.156581
50559,50559,CC1CC2N=COC12C,1.212,21.59,125.084063972,0,2,"(50,)",0.1702884669695539,-0.4749425978116522,0,2,3,1.8575,-403.157804,-403.158748,-403.167119,-403.199984,-0.2402,0.0223,0.2625,0.171506
15957,15957,COC1(C)C2CC1(C)O2,0.9527,18.46,128.083729624,0,2,"(52,)",0.1197933874000299,-0.3727970811866988,1,3,3,1.5139,-424.148127,-424.149071,-424.158654,-424.192675,-0.2289,0.0826,0.3115,0.179431
41005,41005,CN1CCC2=C1C=CO2,1.2719,16.380000000000003,123.068413908,0,2,"(48,)",0.1282697268060324,-0.467044160864339,0,2,0,1.15,-401.951427,-401.952371,-401.959913,-401.991796,-0.1764,0.0232,0.1996,0.150036
127959,127959,CC1NC2C(N)C12C#N,-0.8024199999999999,61.84,123.079647288,2,3,"(48,)",0.1056662807144658,-0.3248484712819769,0,2,4,4.628,-398.081976,-398.082921,-398.091618,-398.124593,-0.2306,0.017,0.2477,0.148748
49501,49501,CN(C)C(C#N)C#N,-0.03624,50.82,109.063997224,0,3,"(42,)",0.1850598010348343,-0.2824170702730571,1,0,0,4.0421,-358.830483,-358.831427,-358.84018,-358.873494,-0.2617,-0.0204,0.2413,0.117587
90324,90324,NC1=CON=C1NC=N,0.27577,87.93,126.054160812,3,4,"(48,)",0.1972430679579017,-0.3930184460300134,2,1,0,2.79,-450.106541,-450.107485,-450.115233,-450.147641,-0.2019,-0.0112,0.1907,0.115084
109863,109863,O=CC1(CC1)C#CC#N,0.49248,40.86,119.03711378,0,2,"(44,)",0.1519685740735873,-0.3016855181689721,1,1,0,3.5452,-399.526511,-399.527455,-399.536112,-399.570231,-0.2776,-0.0544,0.2233,0.099486
112059,112059,OC(C=O)(C#C)C1CO1,-1.0516,49.83,126.031694052,1,3,"(48,)",0.2091964361858876,-0.3689971403854762,2,1,2,2.3683,-457.686866,-457.68781,-457.696906,-457.731097,-0.2529,-0.0444,0.2084,0.108378
50328,50328,CCC12CC1(O)C(=O)C2,0.4904,37.3,126.06807956,1,2,"(50,)",0.1651315837178471,-0.3814520709822189,1,2,2,3.4264,-423.010109,-423.011053,-423.020338,-423.054436,-0.2335,-0.0073,0.2262,0.157194
103073,103073,CC1C2C3NC3(C)C12O,-0.2725000000000001,42.17,125.084063972,2,2,"(50,)",0.0917436493359638,-0.3872479085752173,0,3,5,2.3036,-403.081262,-403.082206,-403.091198,-403.124121,-0.2475,0.0685,0.3159,0.170005
84554,84554,OCC#CC1NCC1=O,-1.477,49.33,125.047678464,2,3,"(48,)",0.1752404271459934,-0.3836544272123292,0,1,1,3.3811,-437.819414,-437.820358,-437.829719,-437.866026,-0.2452,-0.0339,0.2114,0.122463
49624,49624,CCC12CC3N1C2C3=O,0.1743999999999999,20.08,123.068413908,0,2,"(48,)",0.1685548126054357,-0.2960651216875409,1,3,4,3.3964,-401.907362,-401.908306,-401.916261,-401.949006,-0.2462,-0.0119,0.2343,0.147626
103447,103447,CCN1C=C(O)OC1=N,0.2860699999999999,62.15,128.058577496,2,4,"(50,)",0.3013732309666128,-0.4795726496768737,1,1,0,2.0514,-455.156198,-455.157142,-455.166379,-455.201389,-0.1777,0.0489,0.2266,0.13497
127864,127864,CCC1C2CC2C1CO,1.2708,20.23,126.104465068,1,1,"(52,)",0.0464277849145562,-0.3960659366400557,2,2,4,1.1776,-388.247013,-388.247957,-388.257621,-388.292181,-0.2494,0.0752,0.3246,0.205653
40003,40003,CN1C=C(O)N=CC1=N,-0.3948299999999999,61.9,125.058911844,2,4,"(48,)",0.2272781164397841,-0.4922304475965361,0,1,0,1.1204,-434.089461,-434.090405,-434.098448,-434.130928,-0.1846,-0.0544,0.1303,0.12569
3313,3313,CC1=CC(=O)N2CCC12,0.5472000000000001,20.31,123.068413908,0,1,"(48,)",0.2465796042542164,-0.3322915497710537,0,2,1,4.7745,-401.973768,-401.974712,-401.982538,-402.014903,-0.2368,-0.0281,0.2087,0.149272
77402,77402,CC1CC2CC(=O)C=C12,1.5416,17.07,122.07316494,0,1,"(48,)",0.1557629598099012,-0.294842249794855,0,2,2,4.2615,-385.900374,-385.901318,-385.909346,-385.941982,-0.2316,-0.0365,0.1951,0.159901
87159,87159,O=CC12CC1NCC2=O,-0.8837000000000002,46.17,125.047678464,1,3,"(48,)",0.1609621091189612,-0.3056846515222925,1,2,2,3.1538,-437.889369,-437.890313,-437.898148,-437.930655,-0.2301,-0.0308,0.1994,0.124634
14661,14661,CC1OCCC11CN1C,0.4794,12.24,127.099714036,0,2,"(52,)",0.0743462315924874,-0.3764523285013075,0,2,3,1.303,-404.314083,-404.315027,-404.324161,-404.359068,-0.2266,0.0795,0.3062,0.194205
132174,132174,CN=CN1CC(N)C1=N,-0.7353299999999998,65.47,126.09054632,2,3,"(50,)",0.1201749275158443,-0.319919574539083,1,1,1,2.896,-415.366609,-415.367554,-415.377175,-415.412065,-0.2254,-0.01,0.2154,0.159732
111270,111270,O=C1CC2CC3CC2C13,1.2314,17.07,122.07316494,0,1,"(48,)",0.1363281277251428,-0.2993685458066036,0,4,4,3.0702,-385.905208,-385.906152,-385.91254,-385.943115,-0.2299,-0.0133,0.2166,0.163221
887,887,C(C1CC1)C1=NNC=C1,1.3622,28.68,122.08439832,1,1,"(48,)",0.0624352079247385,-0.2854770165162211,2,2,0,2.0406,-382.072215,-382.073159,-382.081338,-382.115569,-0.2391,0.0277,0.2668,0.161755
103513,103513,CC1(C)OCC1CC=O,1.0004,26.3,128.083729624,0,2,"(52,)",0.11996519474792,-0.374768956881274,2,1,1,1.4232,-424.2149,-424.215844,-424.225991,-424.262058,-0.251,-0.0266,0.2244,0.179253
105207,105207,N=C1CN2N=CC=C2O1,0.2527699999999999,50.900000000000006,123.04326178,1,4,"(46,)",0.2195312881493905,-0.4234751792948515,0,2,0,1.179,-432.881939,-432.882883,-432.88937,-432.920492,-0.2349,-0.0157,0.2191,0.104315
37967,37967,CC12CC3C1N3CC2O,-0.1762999999999998,23.24,125.084063972,1,2,"(50,)",0.0736496053937396,-0.3911593896773315,0,3,5,1.1264,-403.103598,-403.104542,-403.112431,-403.14421,-0.2283,0.0655,0.2939,0.172068
122000,122000,CNCC(=O)C(F)(F)F,0.3371999999999998,29.1,141.040148472,1,2,"(54,)",0.4508474768134728,-0.3127935204459759,2,0,0,1.4034,-585.434725,-585.435669,-585.445146,-585.481142,-0.2357,-0.0542,0.1815,0.10716
6308,6308,C1CC11CC2CC1C=C2,2.3626000000000005,0.0,120.093900384,0,0,"(48,)",-0.0170924855414739,-0.0850772671044405,0,3,2,0.149,-349.943132,-349.944076,-349.951086,-349.982063,-0.2313,0.0226,0.2539,0.185928
124700,124700,NC=[NH+]C1=CN=N[N-]1,-2.8671,79.87,111.05449516,2,2,"(42,)",0.1754083018310841,-0.3913088893603944,1,1,0,13.7391,-390.908729,-390.909674,-390.917001,-390.948937,-0.2007,-0.0651,0.1356,0.097134
30953,30953,CN1N=C(C)C(N)=C1C,0.6191400000000002,43.84,125.095297352,1,3,"(50,)",0.0825266385272665,-0.3957468139550597,0,1,0,1.5619,-399.349932,-399.350876,-399.361466,-399.397769,-0.1979,0.0361,0.234,0.170213
44192,44192,CC(C)C1=NOC(=O)N1,0.4863,58.89,128.058577496,1,3,"(50,)",0.4384236526635131,-0.2959464616621812,1,1,0,5.7626,-455.172248,-455.173192,-455.181941,-455.215907,-0.2537,0.0006,0.2543,0.135535
70348,70348,CC1(CCCO1)C1CN1,0.5272999999999999,31.17,127.099714036,1,2,"(52,)",0.0819533984630137,-0.3736107316229703,1,2,2,2.8998,-404.325145,-404.326089,-404.334953,-404.368509,-0.2351,0.0761,0.3111,0.195438
59504,59504,COC12CCC1(O)CC2,0.6902999999999999,29.46,128.083729624,1,2,"(52,)",0.0965990526040382,-0.3868752772338319,1,2,0,1.8573,-424.178248,-424.179192,-424.188684,-424.22311,-0.2302,0.0756,0.3059,0.180648
52353,52353,CC1COCCCOC1,1.0594,18.46,130.099379688,0,2,"(54,)",0.0513142370988762,-0.3809943946824706,0,1,0,1.1427,-425.407435,-425.40838,-425.417512,-425.451209,-0.237,0.0772,0.3143,0.207092
99651,99651,CC(O)C1NCC1=NO,-0.8308000000000002,64.85,130.07422756,3,4,"(52,)",0.0903254572141659,-0.4108171582687157,1,1,2,2.4265,-456.259774,-456.260718,-456.270395,-456.305187,-0.231,-0.0054,0.2256,0.157515
4072,4072,CC1C2(C)NC(=O)C12O,-0.7443000000000001,49.33,127.063328528,2,2,"(50,)",0.2548551419988688,-0.3773074810149991,0,2,3,3.7899,-439.071282,-439.072226,-439.081567,-439.115097,-0.2324,0.0071,0.2395,0.145536
116427,116427,OC1C2COCC1C2O,-1.0156,49.69,130.06299418,2,3,"(52,)",0.0689973500511921,-0.3921622443026946,0,3,0,2.4852,-460.128028,-460.128972,-460.137027,-460.169088,-0.2408,0.0658,0.3066,0.160591
106075,106075,CC1C2C3C=CC2N13,0.6273,3.24,107.073499288,0,1,"(42,)",0.034855561670344,-0.2866274463686167,0,5,3,1.5551,-326.636061,-326.637005,-326.643252,-326.673166,-0.2128,-0.0049,0.2079,0.143802
8102,8102,CC12CCC3C(CO1)C23,1.4313,9.23,124.088815004,0,1,"(50,)",0.0688700354235969,-0.374665684605156,0,3,4,1.5006,-387.095191,-387.096135,-387.103647,-387.135233,-0.2365,0.0812,0.3176,0.185022
76875,76875,O=CN1C=NC(=O)N=C1,-1.3234,64.85,125.022526336,0,5,"(46,)",0.3693848020031033,-0.2778462516237032,1,1,0,5.3599,-468.858048,-468.858992,-468.866057,-468.898921,-0.2708,-0.0889,0.1819,0.078801
34998,34998,CC(CCO)CC1CO1,0.7938000000000001,32.76,130.099379688,1,2,"(54,)",0.0812067956098285,-0.396365881005859,4,1,2,1.1376,-425.389223,-425.390167,-425.40097,-425.4379,-0.2631,0.0781,0.3412,0.203612
45705,45705,CC(O)C(C=O)C(C)O,-0.4369000000000002,57.53,132.078644244,2,3,"(54,)",0.1277348972745088,-0.3925757364572838,3,0,2,0.7724,-461.356066,-461.35701,-461.368281,-461.405961,-0.2473,-0.0313,0.216,0.177935
13169,13169,CC#CC1C2OC1C=C2,0.9631,9.23,120.057514876,0,1,"(46,)",0.0930899541387876,-0.3640332577872906,0,3,2,1.6325,-384.60274,-384.603684,-384.611918,-384.646523,-0.2375,-0.0089,0.2286,0.135226
66865,66865,O=CC12COC1CN2,-1.0739,38.33,113.047678464,1,3,"(44,)",0.1446456061570883,-0.3719076618035581,1,2,2,2.6047,-399.743458,-399.744403,-399.751379,-399.782845,-0.2379,-0.0419,0.196,0.118907
19415,19415,CC12CCCC(O)C1N2,0.2616999999999999,42.17,127.099714036,2,2,"(52,)",0.0710865087517159,-0.39143081176278,0,2,3,3.0887,-404.334327,-404.335271,-404.344048,-404.376907,-0.2321,0.0653,0.2974,0.195852
32628,32628,CN1C=C(O)C(=N)C=N1,-0.3948300000000002,61.900000000000006,125.058911844,2,4,"(48,)",0.1596422410922182,-0.504240411848199,0,1,0,3.12,-434.072368,-434.073313,-434.081265,-434.114325,-0.1947,-0.0292,0.1655,0.126082
42810,42810,CC1N2CC3OC1(C)C23,0.2301999999999999,12.47,125.084063972,0,2,"(50,)",0.0991177164908938,-0.3656027503563784,0,3,4,0.7066,-403.078838,-403.079782,-403.087627,-403.119367,-0.2076,0.0719,0.2796,0.171219
23723,23723,O1C2C3C=CC4C1C2N34,-0.2414,12.47,121.052763844,0,2,"(46,)",0.0952562491144949,-0.3675587358844887,0,4,4,0.3023,-400.66881,-400.669754,-400.6751,-400.704442,-0.2069,0.003,0.2099,0.12789
27713,27713,CC1(C)C2OC2C11CN1,0.1356,34.47,125.084063972,1,2,"(50,)",0.1047362495645536,-0.3668352491899309,0,3,3,1.9763,-403.072395,-403.073339,-403.081982,-403.114543,-0.2412,0.065,0.3062,0.16954
105667,105667,CC1COCC(CO)O1,-0.2174000000000002,38.69,132.078644244,1,3,"(54,)",0.1042748335854823,-0.3935825099079373,1,1,2,1.7688,-461.351884,-461.352828,-461.361937,-461.395667,-0.2407,0.0805,0.3213,0.182834
73595,73595,N#CC1OCCC2NC12,-0.3607200000000001,54.96,124.063662876,1,3,"(48,)",0.1601628061876287,-0.3614980540375186,0,2,3,5.788,-417.981981,-417.982926,-417.99046,-418.022663,-0.2631,0.0174,0.2805,0.138374
32577,32577,CC1C2C3C(C#C)C2N13,0.3205,3.24,119.073499288,0,1,"(46,)",0.0519090585675676,-0.290987384307878,0,5,3,1.9816,-364.669332,-364.670276,-364.678161,-364.710342,-0.2318,0.0428,0.2747,0.146656
9431,9431,C#CCC1=CN=NN=N1,-0.5577000000000001,51.56,120.043596128,0,4,"(44,)",0.0969337461825168,-0.1352373386708217,1,1,0,4.8166,-411.687588,-411.688532,-411.69634,-411.730187,-0.2584,-0.0942,0.1643,0.087354
